date,price,term
2018-04-05,236.73484802246094,term1
2018-04-06,231.45901489257812,term1
2018-04-09,232.59971618652344,term1
2018-04-10,236.2981414794922,term1
2018-04-11,235.05943298339844,term1
2018-04-12,236.99325561523438,term1
2018-04-13,236.2981414794922,term1
2018-04-16,238.24093627929688,term1
2018-04-17,240.78968811035156,term1
2018-04-18,240.96791076660156,term1
2018-04-19,239.63119506835938,term1
2018-04-20,237.5992889404297,term1
2018-04-23,237.5635986328125,term1
2018-04-24,234.3642578125,term1
2018-04-25,234.9435272216797,term1
2018-04-26,237.33189392089844,term1
2018-04-27,237.55470275878906,term1
2018-04-30,235.72776794433594,term1
2018-05-01,236.14669799804688,term1
2018-05-02,234.5603790283203,term1
2018-05-03,234.04342651367188,term1
2018-05-04,237.0734405517578,term1
2018-05-07,237.87548828125,term1
2018-05-08,237.87548828125,term1
2018-05-09,240.17477416992188,term1
2018-05-10,242.4205780029297,term1
2018-05-11,243.16033935546875,term1
2018-05-14,243.27613830566406,term1
2018-05-15,241.60069274902344,term1
2018-05-16,242.61663818359375,term1
2018-05-17,242.41168212890625,term1
2018-05-18,241.80564880371094,term1
2018-05-21,243.6236572265625,term1
2018-05-22,242.9463348388672,term1
2018-05-23,243.61474609375,term1
2018-05-24,243.11569213867188,term1
2018-05-25,242.5364532470703,term1
2018-05-29,239.7470245361328,term1
2018-05-30,242.9463348388672,term1
2018-05-31,241.45811462402344,term1
2018-06-01,243.82867431640625,term1
2018-06-04,244.98728942871094,term1
2018-06-05,245.16549682617188,term1
2018-06-06,247.2151336669922,term1
2018-06-07,247.1884765625,term1
2018-06-08,247.91921997070312,term1
2018-06-11,248.24896240234375,term1
2018-06-12,248.56976318359375,term1
2018-06-13,247.77658081054688,term1
2018-06-14,248.40045166015625,term1
2018-06-15,248.0836181640625,term1
2018-06-18,247.5733184814453,term1
2018-06-19,246.62442016601562,term1
2018-06-20,247.04510498046875,term1
2018-06-21,245.49649047851562,term1
2018-06-22,245.94403076171875,term1
2018-06-25,242.59608459472656,term1
2018-06-26,243.13319396972656,term1
2018-06-27,241.1190185546875,term1
2018-06-28,242.49758911132812,term1
2018-06-29,242.8467559814453,term1
2018-07-02,243.36590576171875,term1
2018-07-03,242.5064697265625,term1
2018-07-05,244.4849090576172,term1
2018-07-06,246.55279541015625,term1
2018-07-09,248.7728271484375,term1
2018-07-10,249.66810607910156,term1
2018-07-11,247.84176635742188,term1
2018-07-12,250.0887451171875,term1
2018-07-13,250.28564453125,term1
2018-07-16,250.06195068359375,term1
2018-07-17,251.073486328125,term1
2018-07-18,251.6016082763672,term1
2018-07-19,250.6527557373047,term1
2018-07-20,250.36636352539062,term1
2018-07-23,250.831787109375,term1
2018-07-24,252.09402465820312,term1
2018-07-25,254.2425079345703,term1
2018-07-26,253.64266967773438,term1
2018-07-27,251.92388916015625,term1
2018-07-30,250.60794067382812,term1
2018-07-31,251.84332275390625,term1
2018-08-01,251.422607421875,term1
2018-08-02,252.79217529296875,term1
2018-08-03,253.8753662109375,term1
2018-08-06,254.8064422607422,term1
2018-08-07,255.64781188964844,term1
2018-08-08,255.54039001464844,term1
2018-08-09,255.1913604736328,term1
2018-08-10,253.48147583007812,term1
2018-08-13,252.53265380859375,term1
2018-08-14,254.1439208984375,term1
2018-08-15,252.2461700439453,term1
2018-08-16,254.28724670410156,term1
2018-08-17,255.18234252929688,term1
2018-08-20,255.72840881347656,term1
2018-08-21,256.3282470703125,term1
2018-08-22,256.1759948730469,term1
2018-08-23,255.8359832763672,term1
2018-08-24,257.37554931640625,term1
2018-08-27,259.4076232910156,term1
2018-08-28,259.5329895019531,term1
2018-08-29,260.92950439453125,term1
2018-08-30,259.87310791015625,term1
2018-08-31,259.8821716308594,term1
2018-09-04,259.43450927734375,term1
2018-09-05,258.73626708984375,term1
2018-09-06,257.9574279785156,term1
2018-09-07,257.4561462402344,term1
2018-09-10,257.9037170410156,term1
2018-09-11,258.75421142578125,term1
2018-09-12,258.8168640136719,term1
2018-09-13,260.3476257324219,term1
2018-09-14,260.39239501953125,term1
2018-09-17,259.0137939453125,term1
2018-09-18,260.4192199707031,term1
2018-09-19,260.69671630859375,term1
2018-09-20,262.80938720703125,term1
2018-09-21,262.56927490234375,term1
2018-09-24,261.697021484375,term1
2018-09-25,261.4542541503906,term1
2018-09-26,260.6718444824219,term1
2018-09-27,261.4002685546875,term1
2018-09-28,261.42718505859375,term1
2018-10-01,262.33544921875,term1
2018-10-02,262.1826477050781,term1
2018-10-03,262.3264465332031,term1
2018-10-04,260.2762451171875,term1
2018-10-05,258.81951904296875,term1
2018-10-08,258.81951904296875,term1
2018-10-09,258.4418029785156,term1
2018-10-10,250.2586212158203,term1
2018-10-11,244.74639892578125,term1
2018-10-12,248.14549255371094,term1
2018-10-15,246.75164794921875,term1
2018-10-16,252.1470947265625,term1
2018-10-17,252.19200134277344,term1
2018-10-18,248.55014038085938,term1
2018-10-19,248.41522216796875,term1
2018-10-22,247.30020141601562,term1
2018-10-23,246.04122924804688,term1
2018-10-24,238.58656311035156,term1
2018-10-25,242.8668975830078,term1
2018-10-26,238.59547424316406,term1
2018-10-29,237.2736053466797,term1
