day,negative,neutral,positive,total,positive_ratio,negative_ratio,neutral_ratio,date,price,prev_return,rolling_std,return,high_volatility,positive_ratio_lag1,negative_ratio_lag1,neutral_ratio_lag1,total_lag1
2017-05-26,1,2,1,4,0.25,0.25,0.5,2017-05-26,211.3734436035156,0.004779423575671,0.0021622327192963,-0.00020677806218294403,0,0.5,0.0,0.5,4.0
2017-05-30,1,4,0,5,0.0,0.2,0.8,2017-05-30,211.18980407714844,-0.0002067780621829,0.0022565661823979,-0.0008687918559514562,0,0.25,0.25,0.5,4.0
2017-05-31,1,5,3,9,0.3333333333333333,0.1111111111111111,0.5555555555555556,2017-05-31,211.13734436035156,-0.0008687918559514,0.0023687074686562,-0.0002484008024256079,0,0.0,0.2,0.8,5.0
2017-06-01,1,3,1,5,0.2,0.2,0.6,2017-06-01,212.8163604736328,-0.0002484008024256,0.0039023469713583,0.007952246052766787,0,0.3333333333333333,0.1111111111111111,0.5555555555555556,9.0
2017-06-02,3,2,3,8,0.375,0.375,0.25,2017-06-02,213.5246429443359,0.0079522460527667,0.0037198101145442,0.003328139195345692,0,0.2,0.2,0.6,5.0
2017-06-05,1,5,2,8,0.25,0.125,0.625,2017-06-05,213.3672790527344,0.0033281391953456,0.0038047235472711,-0.0007369823427946232,0,0.375,0.375,0.25,8.0
2017-06-06,0,10,0,10,0.0,0.0,1.0,2017-06-06,212.6851806640625,-0.0007369823427946,0.0043319298064677,-0.00319682751591599,0,0.25,0.125,0.625,8.0
2017-06-07,0,4,1,5,0.2,0.0,0.8,2017-06-07,213.0787353515625,-0.0031968275159159,0.0042303866854834,0.0018504095408584664,0,0.0,0.0,1.0,10.0
2017-06-09,1,3,3,7,0.4285714285714285,0.1428571428571428,0.4285714285714285,2017-06-09,212.8601226806641,0.000492612319046,0.0019235805723944,-0.0010259713177747098,0,0.2,0.0,0.8,5.0
2017-06-12,1,6,1,8,0.125,0.125,0.75,2017-06-12,212.8163604736328,-0.0015178359321422,0.0019302885994307,-0.000205591383111825,0,0.4285714285714285,0.1428571428571428,0.4285714285714285,7.0
2017-06-13,1,7,2,10,0.2,0.1,0.7,2017-06-13,213.8569793701172,-0.0002055913831118,0.0024419182614895,0.004889750459825759,0,0.125,0.125,0.75,8.0
2017-06-14,1,1,2,4,0.5,0.25,0.25,2017-06-14,213.58592224121097,0.0048897504598257,0.0025962028085574,-0.0012674691735784505,0,0.2,0.1,0.7,10.0
2017-06-15,2,2,2,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,2017-06-15,213.1748962402344,-0.0012674691735784,0.0028091564011312,-0.0019244058628188343,0,0.5,0.25,0.25,4.0
2017-06-16,0,5,2,7,0.2857142857142857,0.0,0.7142857142857143,2017-06-16,213.22149658203125,-0.0019244058628188,0.0026797436523066,0.00021860145175978118,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
2017-06-19,0,10,3,13,0.2307692307692307,0.0,0.7692307692307693,2017-06-19,214.99658203125,0.0002186014517597,0.0044044377714739,0.008325077338230846,0,0.2857142857142857,0.0,0.7142857142857143,7.0
2017-06-20,1,4,1,6,0.1666666666666666,0.1666666666666666,0.6666666666666666,2017-06-20,213.5466156005859,0.0083250773382308,0.0054717497757295,-0.006744137125181515,0,0.2307692307692307,0.0,0.7692307692307693,13.0
2017-06-21,0,5,4,9,0.4444444444444444,0.0,0.5555555555555556,2017-06-21,213.493896484375,-0.0067441371251815,0.0054446012640788,-0.0002468740422911786,0,0.1666666666666666,0.1666666666666666,0.6666666666666666,6.0
2017-06-22,1,10,2,13,0.1538461538461538,0.0769230769230769,0.7692307692307693,2017-06-22,213.3972320556641,-0.0002468740422911,0.0053586864617024,-0.00045277373406305,0,0.4444444444444444,0.0,0.5555555555555556,9.0
2017-06-23,0,3,4,7,0.5714285714285714,0.0,0.4285714285714285,2017-06-23,213.65206909179688,-0.000452773734063,0.0053763559873999,0.0011941909165265052,0,0.1538461538461538,0.0769230769230769,0.7692307692307693,13.0
2017-06-26,0,9,0,9,0.0,0.0,1.0,2017-06-26,213.79266357421875,0.0011941909165265,0.0032154081237223,0.0006580534558804363,0,0.5714285714285714,0.0,0.4285714285714285,7.0
2017-06-27,3,9,1,13,0.0769230769230769,0.2307692307692307,0.6923076923076923,2017-06-27,212.07029724121097,0.0006580534558804,0.0037913092849273,-0.008056246197661765,0,0.0,0.0,1.0,9.0
2017-06-28,2,5,2,9,0.2222222222222222,0.2222222222222222,0.5555555555555556,2017-06-28,213.9684295654297,-0.0080562461976617,0.0060420654393682,0.008950486460910456,0,0.0769230769230769,0.2307692307692307,0.6923076923076923,13.0
2017-06-29,2,9,2,13,0.1538461538461538,0.1538461538461538,0.6923076923076923,2017-06-29,212.087890625,0.0089504864609104,0.0073623274714148,-0.008788861722493713,0,0.2222222222222222,0.2222222222222222,0.5555555555555556,9.0
2017-06-30,1,5,1,7,0.1428571428571428,0.1428571428571428,0.7142857142857143,2017-06-30,212.4833221435547,-0.0087888617224937,0.0074228666405628,0.0018644700430061611,0,0.1538461538461538,0.1538461538461538,0.6923076923076923,13.0
2017-07-03,0,3,7,10,0.7,0.0,0.3,2017-07-03,212.84364318847656,0.0018644700430061,0.0074975474267827,0.001695761536891105,0,0.1428571428571428,0.1428571428571428,0.7142857142857143,7.0
2017-07-05,0,3,1,4,0.25,0.0,0.75,2017-07-05,213.33575439453125,0.0016957615368911,0.0063594651318508,0.002312078475460666,0,0.7,0.0,0.3,10.0
2017-07-06,0,2,2,4,0.5,0.0,0.5,2017-07-06,211.3849334716797,0.0023120784754606,0.0059889059925515,-0.009144369298940025,0,0.25,0.0,0.75,4.0
2017-07-07,0,5,2,7,0.2857142857142857,0.0,0.7142857142857143,2017-07-07,212.7557373046875,-0.00914436929894,0.0058160588435387,0.006484870092179351,0,0.5,0.0,0.5,4.0
2017-07-10,1,10,0,11,0.0,0.0909090909090909,0.9090909090909092,2017-07-10,212.98422241210935,0.0064848700921793,0.0057852007831149,0.001073931590830135,0,0.2857142857142857,0.0,0.7142857142857143,7.0
2017-07-11,1,5,1,7,0.1428571428571428,0.1428571428571428,0.7142857142857143,2017-07-11,212.82601928710935,0.0010739315908301,0.0057602897908328,-0.000742792697075445,0,0.0,0.0909090909090909,0.9090909090909092,11.0
2017-07-12,2,7,5,14,0.3571428571428571,0.1428571428571428,0.5,2017-07-12,214.4253692626953,-0.0007427926970754,0.0066796480533896,0.0075148235208422065,0,0.1428571428571428,0.1428571428571428,0.7142857142857143,7.0
2017-07-13,0,4,0,4,0.0,0.0,1.0,2017-07-13,214.78565979003903,0.0075148235208422,0.0035980354886359,0.0016802607293278093,0,0.3571428571428571,0.1428571428571428,0.5,14.0
2017-07-14,0,8,3,11,0.2727272727272727,0.0,0.7272727272727273,2017-07-14,215.7874298095703,0.0016802607293278,0.0032588914185249,0.00466404517187291,0,0.0,0.0,1.0,4.0
2017-07-17,0,3,0,3,0.0,0.0,1.0,2017-07-17,215.76107788085935,0.0046640451718729,0.0034585360286851,-0.00012211985069854325,0,0.2727272727272727,0.0,0.7272727272727273,11.0
2017-07-18,0,3,2,5,0.4,0.0,0.6,2017-07-18,215.8753662109375,-0.0001221198506985,0.0031873526523411,0.0005296985498990381,0,0.0,0.0,1.0,3.0
2017-07-19,0,5,0,5,0.0,0.0,1.0,2017-07-19,217.04409790039065,0.000529698549899,0.002478974041955,0.005413918734531009,0,0.4,0.0,0.6,5.0
2017-07-20,0,2,1,3,0.3333333333333333,0.0,0.6666666666666666,2017-07-20,217.14073181152344,0.005413918734531,0.0026296962367711,0.0004452270854982121,0,0.0,0.0,1.0,5.0
2017-07-21,0,4,2,6,0.3333333333333333,0.0,0.6666666666666666,2017-07-21,216.94740295410156,0.0004452270854982,0.0024907747908461,-0.0008903389788226246,0,0.3333333333333333,0.0,0.6666666666666666,3.0
2017-07-24,2,7,0,9,0.0,0.2222222222222222,0.7777777777777778,2017-07-24,216.89463806152344,-0.0008903389788226,0.0025058713927282,-0.00024321513813785334,0,0.3333333333333333,0.0,0.6666666666666666,6.0
2017-07-25,3,14,2,19,0.1052631578947368,0.1578947368421052,0.7368421052631579,2017-07-25,217.4219512939453,-0.0002432151381378,0.0025508523545733,0.0024311953358306937,0,0.0,0.2222222222222222,0.7777777777777778,9.0
2017-07-26,1,7,4,12,0.3333333333333333,0.0833333333333333,0.5833333333333334,2017-07-26,217.4307403564453,0.0024311953358306,0.0012576170758245,4.042398868975283e-05,0,0.1052631578947368,0.1578947368421052,0.7368421052631579,19.0
2017-07-27,1,6,3,10,0.3,0.1,0.6,2017-07-27,217.22862243652344,4.042398868975283e-05,0.0013779456055622,-0.0009295738017105482,0,0.3333333333333333,0.0833333333333333,0.5833333333333334,12.0
2017-07-28,0,6,3,9,0.3333333333333333,0.0,0.6666666666666666,2017-07-28,216.97381591796875,-0.0009295738017105,0.0014325099445129,-0.0011729877752603146,0,0.3,0.1,0.6,10.0
2017-07-31,1,1,2,4,0.5,0.25,0.25,2017-07-31,216.85073852539065,-0.0011729877752603,0.0014548422832936,-0.000567245370402758,0,0.3333333333333333,0.0,0.6666666666666666,9.0
2017-08-01,1,2,0,3,0.0,0.3333333333333333,0.6666666666666666,2017-08-01,217.3340759277344,-0.0005672453704027,0.0013692426128617,0.0022288944258641585,0,0.5,0.25,0.25,4.0
2017-08-02,0,2,2,4,0.5,0.0,0.5,2017-08-02,217.43951416015625,0.0022288944258641,0.0013932622209147,0.00048514358354423415,0,0.0,0.3333333333333333,0.6666666666666666,3.0
2017-08-03,0,3,7,10,0.7,0.0,0.3,2017-08-03,217.01771545410156,0.0004851435835442,0.0016184367624028,-0.0019398438581131883,0,0.5,0.0,0.5,4.0
2017-08-04,1,7,8,16,0.5,0.0625,0.4375,2017-08-04,217.4131317138672,-0.0019398438581131,0.0017164340809091,0.00182204599720448,0,0.7,0.0,0.3,10.0
2017-08-07,2,10,4,16,0.25,0.125,0.625,2017-08-07,217.81735229492188,0.0018220459972044,0.0017155662280097,0.0018592279954214863,0,0.5,0.0625,0.4375,16.0
2017-08-08,2,6,0,8,0.0,0.25,0.75,2017-08-08,217.2813262939453,0.0018592279954214,0.0020506078310061,-0.002460896688574188,0,0.25,0.125,0.625,16.0
2017-08-09,0,7,3,10,0.3,0.0,0.7,2017-08-09,217.2725372314453,-0.0024608966885741,0.0020298847624637,-4.045015119302775e-05,0,0.0,0.25,0.75,8.0
2017-08-10,0,7,2,9,0.2222222222222222,0.0,0.7777777777777778,2017-08-10,214.2056884765625,-4.045015119302775e-05,0.0066822378017584,-0.014115215820469373,1,0.3,0.0,0.7,10.0
2017-08-11,0,6,2,8,0.25,0.0,0.75,2017-08-11,214.52198791503903,-0.0141152158204693,0.0066268127350384,0.001476615493855693,0,0.2222222222222222,0.0,0.7777777777777778,9.0
2017-08-14,1,6,2,9,0.2222222222222222,0.1111111111111111,0.6666666666666666,2017-08-14,216.6485595703125,0.0014766154938556,0.0086643275153224,0.009913070804264956,0,0.25,0.0,0.75,8.0
2017-08-15,1,6,3,10,0.3,0.1,0.6,2017-08-15,216.62225341796875,0.0099130708042649,0.0086318834057367,-0.00012142315829799522,0,0.2222222222222222,0.1111111111111111,0.6666666666666666,9.0
2017-08-16,3,8,4,15,0.2666666666666666,0.2,0.5333333333333333,2017-08-16,217.0001678466797,-0.0001214231582979,0.0086963201117024,0.001744578051183776,0,0.3,0.1,0.6,10.0
2017-08-17,3,6,3,12,0.25,0.25,0.5,2017-08-17,213.6168975830078,0.0017445780511837,0.0092905924382954,-0.015591095146351708,1,0.2666666666666666,0.2,0.5333333333333333,15.0
2017-08-18,2,5,1,8,0.125,0.25,0.625,2017-08-18,213.28302001953125,-0.0155910951463517,0.0092268679833606,-0.001562973562738934,0,0.25,0.25,0.5,12.0
2017-08-21,0,2,1,3,0.3333333333333333,0.0,0.6666666666666666,2017-08-21,213.449951171875,-0.0015629735627389,0.0071710162488142,0.0007826743653971402,0,0.125,0.25,0.625,8.0
2017-08-22,0,6,2,8,0.25,0.0,0.75,2017-08-22,215.6820068359375,0.0007826743653971,0.0094214336626517,0.010457044622442568,1,0.3333333333333333,0.0,0.6666666666666666,3.0
