day,negative,neutral,positive,total,positive_ratio,negative_ratio,neutral_ratio
2017-08-01,1,2,0,3,0.0,0.3333333333333333,0.6666666666666666
2017-08-02,0,2,2,4,0.5,0.0,0.5
2017-08-03,0,3,7,10,0.7,0.0,0.3
2017-08-04,1,7,8,16,0.5,0.0625,0.4375
2017-08-05,0,7,2,9,0.2222222222222222,0.0,0.7777777777777778
2017-08-06,0,0,2,2,1.0,0.0,0.0
2017-08-07,2,10,4,16,0.25,0.125,0.625
2017-08-08,2,6,0,8,0.0,0.25,0.75
2017-08-09,0,7,3,10,0.3,0.0,0.7
2017-08-10,0,7,2,9,0.2222222222222222,0.0,0.7777777777777778
2017-08-11,0,6,2,8,0.25,0.0,0.75
2017-08-12,1,6,2,9,0.2222222222222222,0.1111111111111111,0.6666666666666666
2017-08-13,0,4,0,4,0.0,0.0,1.0
2017-08-14,1,6,2,9,0.2222222222222222,0.1111111111111111,0.6666666666666666
2017-08-15,1,6,3,10,0.3,0.1,0.6
2017-08-16,3,8,4,15,0.26666666666666666,0.2,0.5333333333333333
2017-08-17,3,6,3,12,0.25,0.25,0.5
2017-08-18,2,5,1,8,0.125,0.25,0.625
2017-08-19,2,4,4,10,0.4,0.2,0.4
2017-08-20,0,0,1,1,1.0,0.0,0.0
2017-08-21,0,2,1,3,0.3333333333333333,0.0,0.6666666666666666
2017-08-22,0,6,2,8,0.25,0.0,0.75
2017-08-23,0,6,3,9,0.3333333333333333,0.0,0.6666666666666666
2017-08-24,1,8,5,14,0.35714285714285715,0.07142857142857142,0.5714285714285714
2017-08-25,0,8,6,14,0.42857142857142855,0.0,0.5714285714285714
2017-08-26,0,6,6,12,0.5,0.0,0.5
2017-08-27,3,6,2,11,0.18181818181818182,0.2727272727272727,0.5454545454545454
2017-08-28,1,3,0,4,0.0,0.25,0.75
2017-08-29,1,3,1,5,0.2,0.2,0.6
2017-08-30,2,3,0,5,0.0,0.4,0.6
2017-08-31,0,2,3,5,0.6,0.0,0.4
2017-09-01,0,4,3,7,0.42857142857142855,0.0,0.5714285714285714
2017-09-02,0,2,2,4,0.5,0.0,0.5
2017-09-03,2,8,2,12,0.16666666666666666,0.16666666666666666,0.6666666666666666
2017-09-04,0,1,0,1,0.0,0.0,1.0
2017-09-05,0,6,0,6,0.0,0.0,1.0
2017-09-06,2,4,2,8,0.25,0.25,0.5
2017-09-07,1,8,3,12,0.25,0.08333333333333333,0.6666666666666666
2017-09-08,0,6,2,8,0.25,0.0,0.75
2017-09-09,0,3,0,3,0.0,0.0,1.0
2017-09-10,1,9,1,11,0.09090909090909091,0.09090909090909091,0.8181818181818182
2017-09-11,0,1,0,1,0.0,0.0,1.0
2017-09-12,1,2,2,5,0.4,0.2,0.4
2017-09-13,1,2,0,3,0.0,0.3333333333333333,0.6666666666666666
2017-09-14,1,8,4,13,0.3076923076923077,0.07692307692307693,0.6153846153846154
2017-09-15,5,5,4,14,0.2857142857142857,0.35714285714285715,0.35714285714285715
2017-09-16,0,1,2,3,0.6666666666666666,0.0,0.3333333333333333
2017-09-17,2,5,4,11,0.36363636363636365,0.18181818181818182,0.45454545454545453
2017-09-18,0,4,1,5,0.2,0.0,0.8
2017-09-19,0,3,5,8,0.625,0.0,0.375
2017-09-20,2,17,6,25,0.24,0.08,0.68
2017-09-21,0,9,0,9,0.0,0.0,1.0
2017-09-22,1,7,2,10,0.2,0.1,0.7
